,RANK,NAME
,#1,Ethscription Baby Pastel Ape #112
,#2,Ethscription Baby Pastel Ape #171
,#3,Ethscription Baby Pastel Ape #390
,#4,Ethscription Baby Pastel Ape #206
,#5,Ethscription Baby Pastel Ape #326
,#6,Ethscription Baby Pastel Ape #346
,#7,Ethscription Baby Pastel Ape #402
,#8,Ethscription Baby Pastel Ape #381
,#9,Ethscription Baby Pastel Ape #137
,#10,Ethscription Baby Pastel Ape #198
,#11,Ethscription Baby Pastel Ape #262
,#12,Ethscription Baby Pastel Ape #214
,#13,Ethscription Baby Pastel Ape #129
,#14,Ethscription Baby Pastel Ape #95
,#15,Ethscription Baby Pastel Ape #114
,#16,Ethscription Baby Pastel Ape #407
,#17,Ethscription Baby Pastel Ape #240
,#18,Ethscription Baby Pastel Ape #99
,#19,Ethscription Baby Pastel Ape #270
,#20,Ethscription Baby Pastel Ape #210
,#21,Ethscription Baby Pastel Ape #291
,#22,Ethscription Baby Pastel Ape #383
,#23,Ethscription Baby Pastel Ape #209
,#24,Ethscription Baby Pastel Ape #197
,#25,Ethscription Baby Pastel Ape #157
,#26,Ethscription Baby Pastel Ape #156
,#27,Ethscription Baby Pastel Ape #34
,#28,Ethscription Baby Pastel Ape #264
,#29,Ethscription Baby Pastel Ape #74
,#30,Ethscription Baby Pastel Ape #420
,#31,Ethscription Baby Pastel Ape #94
,#32,Ethscription Baby Pastel Ape #288
,#33,Ethscription Baby Pastel Ape #219
,#34,Ethscription Baby Pastel Ape #335
,#35,Ethscription Baby Pastel Ape #271
,#36,Ethscription Baby Pastel Ape #382
,#37,Ethscription Baby Pastel Ape #289
,#38,Ethscription Baby Pastel Ape #286
,#39,Ethscription Baby Pastel Ape #83
,#40,Ethscription Baby Pastel Ape #357
,#41,Ethscription Baby Pastel Ape #341
,#42,Ethscription Baby Pastel Ape #337
,#43,Ethscription Baby Pastel Ape #229
,#44,Ethscription Baby Pastel Ape #400
,#45,Ethscription Baby Pastel Ape #272
,#46,Ethscription Baby Pastel Ape #294
,#47,Ethscription Baby Pastel Ape #331
,#48,Ethscription Baby Pastel Ape #230
,#49,Ethscription Baby Pastel Ape #257
,#50,Ethscription Baby Pastel Ape #241
,#51,Ethscription Baby Pastel Ape #194
,#52,Ethscription Baby Pastel Ape #389
,#53,Ethscription Baby Pastel Ape #100
,#54,Ethscription Baby Pastel Ape #396
,#55,Ethscription Baby Pastel Ape #26
,#56,Ethscription Baby Pastel Ape #204
,#57,Ethscription Baby Pastel Ape #320
,#58,Ethscription Baby Pastel Ape #69
,#59,Ethscription Baby Pastel Ape #376
,#60,Ethscription Baby Pastel Ape #36
,#61,Ethscription Baby Pastel Ape #358
,#62,Ethscription Baby Pastel Ape #283
,#63,Ethscription Baby Pastel Ape #37
,#64,Ethscription Baby Pastel Ape #51
,#65,Ethscription Baby Pastel Ape #183
,#66,Ethscription Baby Pastel Ape #134
,#67,Ethscription Baby Pastel Ape #347
,#68,Ethscription Baby Pastel Ape #284
,#69,Ethscription Baby Pastel Ape #174
,#70,Ethscription Baby Pastel Ape #221
,#71,Ethscription Baby Pastel Ape #386
,#72,Ethscription Baby Pastel Ape #404
,#73,Ethscription Baby Pastel Ape #79
,#74,Ethscription Baby Pastel Ape #235
,#75,Ethscription Baby Pastel Ape #391
,#76,Ethscription Baby Pastel Ape #124
,#77,Ethscription Baby Pastel Ape #17
,#78,Ethscription Baby Pastel Ape #318
,#79,Ethscription Baby Pastel Ape #11
,#80,Ethscription Baby Pastel Ape #4
,#81,Ethscription Baby Pastel Ape #245
,#82,Ethscription Baby Pastel Ape #165
,#83,Ethscription Baby Pastel Ape #153
,#84,Ethscription Baby Pastel Ape #378
,#85,Ethscription Baby Pastel Ape #151
,#86,Ethscription Baby Pastel Ape #418
,#87,Ethscription Baby Pastel Ape #19
,#88,Ethscription Baby Pastel Ape #31
,#89,Ethscription Baby Pastel Ape #315
,#90,Ethscription Baby Pastel Ape #334
,#91,Ethscription Baby Pastel Ape #253
,#92,Ethscription Baby Pastel Ape #236
,#93,Ethscription Baby Pastel Ape #207
,#94,Ethscription Baby Pastel Ape #226
,#95,Ethscription Baby Pastel Ape #91
,#96,Ethscription Baby Pastel Ape #2
,#97,Ethscription Baby Pastel Ape #263
,#98,Ethscription Baby Pastel Ape #147
,#99,Ethscription Baby Pastel Ape #233
,#100,Ethscription Baby Pastel Ape #145
,#101,Ethscription Baby Pastel Ape #409
,#102,Ethscription Baby Pastel Ape #161
,#103,Ethscription Baby Pastel Ape #70
,#104,Ethscription Baby Pastel Ape #342
,#105,Ethscription Baby Pastel Ape #325
,#106,Ethscription Baby Pastel Ape #190
,#107,Ethscription Baby Pastel Ape #410
